pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health,pet_story
69741427,Ginny,Black Labrador Retriever,,True,Baby,Female,Large,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Brave, Funny, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.","Meet Ginny
Ginny is a very sweet girl! She loves giving kisses and receiving pets. She has a submissive personality and we know she will thrive in a home. She also absolutely loves running around and playing with her sibling, Georgia.

Adoptions are by appointment only. Fill out this form if you are interested in adopting or meeting one of our pets: http://animalrescuefoundation.org/adoptionapplication

We will contact you to set up an appointment once your vet references have been reviewed and your application is approved.

The standard adoption fee for a puppy or a dog is $200 which includes rabies vaccination, at least one round of parvo distemper vaccine and spay or neuter. ARF will adopt to residents who are out of state but will not furnish transportation. Here are a few of our adoption requirements: All adopters will be asked to fill out an application. Adopters must be at least 21 years old. Renters must show proof that they are allowed to have pets, such as a rental agreement. If there is a pet deposit, please show us the receipt that this has been paid. Be prepared to take your pet home with you - bring a leash for all dogs, regardless of age or size (or a pet taxi for small puppies and dogs) and a pet taxi for all kittens and cats."
69741180,Bonnie,Hound,Labrador Retriever,True,Adult,Female,Large,Red / Chestnut / Orange,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Loyal, Brave, Athletic, Funny, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered.","Meet Bonnie
Bonnie is our sweet mama of the bunch. She is generally good on a leash, is pretty calm, and is ready for her forever home! This girl was found as a stray with her six babies, who have since found homes, and now it's her turn!! Bonnie is spayed, up to date on shots, and on heartworm prevention. She can be cat and kid tested upon request. If you are interested in meeting Bonnie, full out an application at animalrescuefoundation.org/adoptionapplication"
69490866,Buttercup,Labrador Retriever,,True,Baby,Female,Medium,Black,,Short,Animal Rescue Foundation Inc,GA59,31061,6,True,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart",N/A,"Vaccinations up to date, spayed / neutered.","Meet Buttercup
Meet Buttercup! This little sweetie is about 15 weeks old and is ready for her forever home! She is a typical roly poly puppy, snuggly and affectionate. She has a mark on her head that will go away with time from when her mother let her know that she was not welcome to continue nursing. It already looks so much better! If you would like to meet Buttercup, please fill out an application at animalrescuefoundation.org/adoptionapplication."
69317379,Blossom,Labrador Retriever,,True,Baby,Female,Medium,Black,,Short,Animal Rescue Foundation Inc,GA59,31061,5,True,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful",N/A,Spayed / neutered.,"Meet Blossom
Meet Blossom! Blossom is the fearless leader of her sisters. She is probably a lab mix and will most likely grow it will grow into a medium size girl. She is about 12 weeks old, fully vaccinated, fixed and microchipped. She is a well socialized roly poly puppy. If you are interested in meeting Blossom, please fill out the adoption application at animalrescuefoundation.org/adoptionapplication"
64552692,Belle,Siberian Husky,Australian Shepherd,True,Adult,Female,Medium,Red / Chestnut / Orange,White / Cream,Medium,Animal Rescue Foundation Inc,GA59,31061,6,False,False,True,,False,"Milledgeville, GA","Affectionate, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered.","Meet Belle
Belle is a sweet heart that lives up to her name! She is about two years old and weighs in at about 40 pounds. She previously lived in a home and is housebroken, but she will probably need a refresher. Belle needs a home that is quiet and calm without many visitors. She gets nervous around new people. She prefers women, but can warm up to men as well. She takes treats from your hand very gently. This little lady is a little timid in new situations, but warms up quickly. Once she decides you are okay, you will have a friend for life!

Adoptions are by appointment only. Fill out this form if you are interested in adopting or meeting one of our pets: http://animalrescuefoundation.org/adoptionapplication

We will contact you to set up an appointment once your vet references have been reviewed and your application is approved.

The standard adoption fee for a puppy or a dog is $200 which includes rabies vaccination, at least one round of parvo distemper vaccine and spay or neuter. ARF will adopt to residents who are out of state but will not furnish transportation. Here are a few of our adoption requirements: All adopters will be asked to fill out an application. Adopters must be at least 21 years old. Renters must show proof that they are allowed to have pets, such as a rental agreement. If there is a pet deposit, please show us the receipt that this has been paid. Be prepared to take your pet home with you - bring a leash for all dogs, regardless of age or size (or a pet taxi for small puppies and dogs) and a pet taxi for all kittens and cats."
73883234,Ladybug,German Shepherd Dog,,False,Adult,Female,Medium,Black,Brown / Chocolate,Medium,Georgia Canine Rescue and Rehabilitation,GA467,31014,4,True,,True,,False,"Cochran, GA","Friendly, Playful, Loves, Funny",N/A,"Vaccinations up to date, spayed / neutered, special needs.",N/A
73883103,Boba,American Bully,,True,Young,Female,Medium,Black,,Short,Georgia Canine Rescue and Rehabilitation,GA467,31014,2,True,True,True,True,False,"Cochran, GA","Affectionate, Athletic, Curious, Playful, Friendly, Smart",Yes,"Vaccinations up to date, spayed / neutered.","Meet Boba
Remember our little girl Boba?!?!?! Boba was rescued as a little pup in horrid condition, she had no hair at all. Our girl is now haired! And ready for a home! She's all dog, cat and kid friendly! Boba is crate trained and housebroken. Full grown about 40 lbs she's a short and stumpy gal. We would love to find this black beauty a forever after! If interested, please PM us for an application.

?interested in adopting from us now or in the future? Please read: our adoption procedures are a bit different from others. We have an application and application fee. Once an application has been submitted and approved, your application is on file and opens the door to current and future available pups. We recommend submitting applications if interested in adopting, regardless of a specific dog being available, as many of our dogs get adopted from approved applications before even being posted. Also, keep in mind that our sole intentions are to make adoptions successful! We focus on matching the best fit, which is not always the dog you are visually attracted to. If you are interested in adopting from us in the future, please PM or email us @pittieprotector@yahoo.com for an application. #gcrradopt"
73883080,Senna,Mixed Breed,,False,Adult,Female,Medium,,,Short,Georgia Canine Rescue and Rehabilitation,GA467,31014,2,True,,True,,False,"Cochran, GA","Athletic, Brave, Friendly, Funny, Gentle, Loves, Playful, Smart, Affectionate",Yes,"Vaccinations up to date, spayed / neutered.","Meet Senna
Remember Senna?!?! Senna was picked up off the side of the highway after being hit by a car. She was badly broken in multiple places. After evaluation it was determined her recovery would be a long and extensive one and only time would tell if it would be a successful outcome. Well here we are! Senna has been in recovery for over a year and is ready for a new life. She's is minus one limb (rear leg) but girl has no problems running, playing and loving her life to the fullest! Senna is 30lbs full grown and the cutest short, stumpy package! We are looking high and low for someone to love and adore this little tripod girl! Senna is dog, and kid friendly she is crate trained and seems to do well with housetraining. She would love a home to call her own. If interested, please PM us for an application.

?interested in adopting from us now or in the future? Please read: our adoption procedures are a bit different from others. We have an application and application fee. Once an application has been submitted and approved, your application is on file and opens the door to current and future available pups. We recommend submitting applications if interested in adopting, regardless of a specific dog being available, as many of our dogs get adopted from approved applications before even being posted. Also, keep in mind that our sole intentions are to make adoptions successful! We focus on matching the best fit, which is not always the dog you are visually attracted to. If you are interested in adopting from us in the future, please PM or email us @pittieprotector@yahoo.com for an application. #gcrradopt"
73883041,Coco Melon,Yorkshire Terrier,,True,Adult,Male,Small,,,Long,Georgia Canine Rescue and Rehabilitation,GA467,31014,1,False,True,True,,False,"Cochran, GA","Brave, Friendly, Curious, Independent, Playful",Yes,"Vaccinations up to date, spayed / neutered.","Meet Coco Melon
Meet cute, spunky, full of life boy, Coco Melon. Coco is a 4 year old 16lb Yorkie mix who has found himself looking for a new forever family. Coco is looking for a home that will give him the love and attention he deserves but include the balance and structure he needs to be the best version of himself. Coco was previously allowed to rule the roost, and much like a rotten child will throw a fit if made to do something he doesn't want. He is getting much better but will need a firm but loving hand to continue on. We would recommend no kids for Coco's future home. He is good with other animals. He is crate trained and appears housebroken. If interested in this adorable mop, please PM us for an application.

?interested in adopting from us now or in the future? Please read: our adoption procedures are a bit different from others. We have an application and application fee. Once an application has been submitted and approved, your application is on file and opens the door to current and future available pups. We recommend submitting applications if interested in adopting, regardless of a specific dog being available, as many of our dogs get adopted from approved applications before even being posted. Also, keep in mind that our sole intentions are to make adoptions successful! We focus on matching the best fit, which is not always the dog you are visually attracted to. If you are interested in adopting from us in the future, please PM or email us @pittieprotector@yahoo.com for an application. #gcrradopt"
66320815,Sawyer,Pit Bull Terrier,Labrador Retriever,True,Adult,Male,Large,Gray / Blue / Silver,White / Cream,Short,Baldwin County Jail Dog Program ,GA972,31061,6,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Curious, Independent, Funny, Athletic, Quiet, Athletic, Energetic",Yes,"Vaccinations up to date, spayed / neutered.","Meet Sawyer
Sawyer is a clown. He is very athletic and energetic, this boy LOVES to play with anyone willing. Sawyer also enjoys playing with other dogs in our program. His play can get too rough for some dogs. His play behavior is vigorous and fast. He can jump like a kangaroo! This dog could be a gold medal dock jumping champion with some training.

With sufficient outdoor physical exercise, when inside, Sawyer is calm and well mannered. We will be looking for a home with a yard that is fully enclosed with a tall fence (at least 6') to keep him safe and allow for vigorous outdoor exercise he needs.

Sawyer is very smart and has learned his cues well. Sit, down, stay, wait for food and at doors, give, leave it, go to your spot. He is house and crate trained. He enjoys ""working"" and being challenged with mental and physical games. This dog can ""go"" all day long and never tire out. No couch potato, Sawyer needs an active person or family.

Sawyer is respectful of his trainer's belongings in the room. He does have a cardboard fetish, so we have removed all cardboard from his room.

Sawyer is loved by all the staff and inmates in his dorm because he is so accepting and loving of each of them.

Because of Sawyer's play energy, we will be looking for a home without cats or other small animals or young children. He is determined to ""catch"" what he chases.

Sawyer's trainer Mr. Gosdin wrote a letter to prospective adopters that you can see on our program FB page: www.facebook.com/RiverbendJailDogs"
65482319,Elsie,Boxer,American Bulldog,True,Adult,Female,Medium,White / Cream,,Short,Kitten Corner & Puppy Street Inc.,GA1074,31061,4,True,True,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Smart, Playful, Gentle, Curious, Funny, Athletic, Quiet, Loves kisses, Couch potato",N/A,N/A,"Meet Elsie
Introducing Elsie, the bubbly and beautiful 1.5-year-old Boxer looking for her forever family!

Elsie is a true delight, a Boxer with a heart full of love and a zest for life that's infectious. She's at that perfect age where she's outgrown her puppy antics but still has all the playful energy and charm of a young dog.

With her distinctive Boxer wiggles and boundless enthusiasm, Elsie is always up for an adventure. She'll be your perfect hiking buddy, jogging partner, or fetch enthusiast, ensuring you stay active and entertained. Her expressive eyes and perky ears will melt your heart as she engages you in playtime.

Yet, Elsie also knows the importance of downtime. After a day of fun and activity, she's more than ready to snuggle up with you on the couch for some quality relaxation. She's incredibly affectionate and craves human connection, making her an ideal companion for someone seeking both playfulness and warmth.

Elsie's yearning for love and her loving nature are truly unmatched. At just 1.5 years old, she has so much love to give and a lifetime of companionship to offer. She's waiting patiently for her forever family to share her boundless affection and endless joy.

If you're ready to invite a loving and playful Boxer into your life, Elsie is the girl for you. Don't miss the chance to make her a part of your family, as she's sure to fill your days with laughter, love, and unforgettable moments. Let's find Elsie her forever home today! #AdoptElsie #BoxerLove #ForeverHome"
65032208,Cricket ,Terrier,,True,Young,Male,Medium,White / Cream,Apricot / Beige,Short,Kitten Corner & Puppy Street Inc.,GA1074,31061,4,True,True,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Curious, Funny, Athletic, Brave, Couch potato, Loves kisses",N/A,N/A,"Meet Cricket
Cricket came to us from Clayton County Animal shelter from the euthanasia list. He was very ill when we took him in and required a hospital stay to get better. He was adopted but subsequently returned through no fault of his own. We will share as much information as we are legally allowed to share in regards to his return. If interested, please contact us. SERIOUS INQUIRIES ONLY"
64159616,Maya,Pit Bull Terrier,,True,Adult,Female,Medium,Gray / Blue / Silver,White / Cream,Short,Kitten Corner & Puppy Street Inc.,GA1074,31061,5,True,False,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Gentle, Protective, Curious, Athletic, Quiet, Couch potato, Loves kisses",N/A,N/A,"Meet Maya
Meet Maya - A Loving Pitbull Searching for a Cat-Free Home

Are you in search of a loyal and loving companion with a playful spirit and a zest for life? Meet Maya, a two-year-old Pitbull ready to join a family that can give her the love and attention she deserves! ??

Meet Maya
Age: 2 Years
Breed: Pitbull
Personality: Energetic and Affectionate

Why Maya is a Pawsome Companion:

1. Playful and Energetic: Maya is a bundle of energy! She loves outdoor adventures, playtime, and running around in the yard. She'll keep you active and entertained.

2. Affectionate and Loving: Behind her strong exterior, Maya is a cuddle bug at heart. She'll shower you with love, loyalty, and tail wags galore.

3. Ideal Home: Maya thrives in a home where she can be the center of attention, and she's great with adults and children.

**Maya's Specific Needs **

Maya is a wonderful dog, but it's important to note that she does not get along with cats. Therefore, her ideal home should:

A: Be Cat-Free: Maya needs a home without any resident cats to ensure her comfort and safety.

B: Provide Space to Play: Maya loves to run and play, so a secure yard or access to outdoor space is essential.

C: A Loving Family: She is looking for a family that can provide her with the love, attention, and exercise she craves.

***How to Give Maya a Forever Home***

If you're ready to give Maya the loving home she deserves and are confident that your home is cat-free, here's how you can adopt her:

1 Contact Kitten Corner & Puppy Street to inquire about Maya's adoption availability.

2 Complete the adoption application and discuss Maya's specific needs with the organization to ensure a perfect fit.

3 If it's a match, welcome Maya into your home and embark on a wonderful journey filled with love and companionship!

Maya is waiting to become your loyal and loving companion. Let's find her the perfect cat-free home where she can thrive and be the happy dog she's meant to be. #AdoptMaya #PitbullLove #FureverHome"
59837047,Zack,Husky,Labrador Retriever,True,Adult,Male,Large,White / Cream,,Medium,Baldwin County Jail Dog Program ,GA972,31061,6,,False,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Independent, Athletic, Quiet, leaner, attentive, watchful",Yes,"Vaccinations up to date, spayed / neutered.","Meet Zack
Zack is a happy, friendly, playful, highly athletic, energetic and very smart boy. He considers you a friend (unless a person is mean to him) and gets along very well with other dogs in our program.

Zack is house and crate trained. He has learned his cues of sit, down, wait, give, leave it, stay, go to his spot, Zack is quiet, clean and a ""leaner"". You may not receive many kisses from this boy, he prefers cuddling with his person.

Zack's favorite thing is to fetch the ball outside in the fenced yard. He will go as long as you allow him to. Of equal enjoyment is a good game of ""tug"" with his trainer. We teach a special kind of tug that trains our dogs to ""let go"" on cue. Once Zack is well exercised, he walks nicely on the leash.

We are looking for a home with a good size fully fenced yard in order to get the amount of physical exercise Zack needs. He could not get sufficient exercise by just walking him.

Inside, Zack is calm and quiet. When he does bark, it is an alert for his trainer that someone is at the door of their cell. Zack's bark is impressive and no criminal with a working brain would try to break into his house! Once the visitor is welcomed inside, Zack is his usual friendly self.

Zack is respectful of his trainer's property. He enjoys playing with his stuffed squeaky toys (which he does not destroy) or chewing on his XLarge Bambone while his trainer reads a book. A very visual dog, Zack is constantly watchful of what is going on around him.

Zack came from a quiet home with an older couple who surrendered him to the local shelter due to stated financial struggles. He is a real ""home body"" and likes to keep his world small and quiet. Zack has been challenged in the prison which is consistently very noisy and crowded. He would do best in a calmer environment without crowds or loud yelling and loud noise, both which are abundant in prison. This boy especially loves women!"
52714350,Rico,Pointer,Pit Bull Terrier,True,Senior,Male,Large,White / Cream,Brown / Chocolate,Short,Baldwin County Jail Dog Program ,GA972,31061,6,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Funny, Quiet, low maintenance, gives free kisses, sweet, calm, Couch Potato",Yes,"Vaccinations up to date, spayed / neutered.","Meet Rico
Rico is a low maintenance, well-adjusted happy boy who loves every human and most med-large dogs he meets. Very tolerant, sweet and friendly, he loves to be around people. He reads other dogs well and adjusts his interactions appropriately. No small animals for Rico.

Rico is one of the first 2 dogs in our program that started in 2015. Rico and his pal Billy were adopted by a former employee of the prison. They lived a good life for 5 years.

Sadly in November 2020, their mom left the marriage and relocated out of state. Rico and Billy remained with their dad in Georgia.

Tragically, just before Christmas 2020, their dad passed away in his sleep, leaving the boys homeless. When their dad's body was found, the boys were taken to the Morgan County Animal Shelter. We were notified the evening of December 20th and went the next morning to pick them up. Billy has since been adopted.

Rico enjoys being outside as long as it's not raining. He is not a water dog. A bit prissy about getting wet, he heaves a big sigh, and tolerates bath time.

Rico's calm temperament and sweetness has brought much delight to all the inmates and officers who live and work in his dorm.

Rico has excellent house manners. He is clean, quiet, and very easy to have around. He never harms his trainer's personal belongings. Rico thinks he is a lap dog, curling up with his trainer any opportunity offered.

Outside, in good weather, Rico is more playful, usually for shorter periods of time. Rico's favorite toy is a big rope toy that he plays with interactively with his trainer in the yard. Rico and his best friend Trixie have lived, trained and played together for the past 2+ years.

Rico is approximately 9 years young, a healthy 62 lb hunk of love, neutered, UTD on rabies vaccine and heartworm negative. Rico has many good years in him to love his new person or family.

Rico would love to find someone who prefers a calm, slower pace of life, someone to hang out with, go for walks together and chill on the couch watching TV.

Please go to our FB page for more information, photos and letters from Rico's trainers.
www.facebook.com/RiverbendJailDogs"
51044806,Trixie,Pit Bull Terrier,Mixed Breed,True,Adult,Female,Medium,Black,White / Cream,Short,Baldwin County Jail Dog Program ,GA972,31061,6,,,True,,False,"Milledgeville, GA","Friendly, energetic, playful, clean, smart, athletic, Quiet, Independent, Affectionate, Playful, Smart, Curious, Funny",Yes,"Vaccinations up to date, spayed / neutered.","Meet Trixie
Trixie is a very smart, independent girl who loves to be the center of attention. She gets quite excited when she first meets someone new or when guests come to visit her cell.

With her perpetual happy smile, she approaches each day with joy and anticipation. Trixie shares a dorm with Rico who she adores and teases good naturedly. When he says enough, she is respectful of his desire to be left alone.

Trixie knows sit, down, go to your spot, stay, wait (at doors and for food), leave it, give, off and is crate trained and house trained. She has mastered every mental game we have given her and she is very good at nose work. She can sniff out every morsel that is concealed inside and outside.

Trixie is HIGH energy in her outdoor play and she loves to splash around in water whenever she can find a puddle. Inside, she is well mannered, quiet and never bothers her trainers possessions. In the evenings, she enjoys cuddling with her trainer, getting as close as she can.

Trixie would love an active person or family who enjoys the outdoors, and then a good snuggle on the couch together.

Trixie gets along well with the male dogs in our program with proper introductions. She has been selective with females, so we will be looking for a home either as an only dog or with another friendly male dog.

Please go to our program Facebook page for more photos and a letter from her trainers. www.facebook.com/RiverbenJailDogs"
